s80,mu,sigma
0.01,-5.018014132202319,3.16796910723647
0.02,-4.191584084056795,2.895370126272907
0.03,-3.7057712858036247,2.7224148419385403
0.04,-3.3600285813690376,2.59230730484217
0.05,-3.0912786133554264,2.4864748594568282
0.06,-2.871354086397746,2.3963948282358425
0.07,-2.685199795415169,2.317412261732974
0.08,-2.523814255053956,2.246692793887921
0.09,-2.381383083210745,2.1823762660049
0.1,-2.253931367467413,2.123172799122772
0.11,-2.1386208744931894,2.0681493536460027
0.12,-2.0333539637240037,2.0166080252364385
0.13,-1.9365363297070353,1.9680123626171842
0.14,-1.8469277857803104,1.9219405744092664
0.15,-1.7635445836639305,1.8780546230948294
0.16,-1.6855932614075095,1.836079116709032
0.17,-1.6124245529492915,1.7957864867234585
0.18,-1.5435004667968988,1.7569863214020187
0.19,-1.478370265615442,1.7195175286198405
0.2,-1.4166526015247707,1.683242467100192
0.21,-1.358022008643568,1.6480424804255307
0.22,-1.3021985356614587,1.6138144476125245
0.23,-1.248939680281854,1.58046808274122
0.24,-1.1980340397311815,1.5479237964003145
0.25,-1.1492962575463055,1.5161109837649125
0.26,-1.1025629594203368,1.4849666389655607
0.27,-1.057689456830273,1.4544342245906297
0.28,-1.0145470493302022,1.4244627403552557
0.29,-0.9730208045887134,1.3950059530974865
0.3,-0.9330077056593372,1.366021746283226
0.31,-0.8944151148918186,1.3374715809256048
0.32,-0.8571594740027761,1.3093200326908438
0.33,-0.8211652082813055,1.2815343992896215
0.34,-0.78636379481557,1.2540843630438663
0.35,-0.7526929660200853,1.226941698712767
0.36,-0.7200960355386163,1.2000800269470502
0.37,-0.6885212949525802,1.1734745799995672
0.38,-0.6579215240589857,1.1471020216693768
0.39,-0.6282535422325416,1.1209402680183647
0.4,-0.599477829196105,1.094968336707601
0.41,-0.5715581925313025,1.0691662102136434
0.42,-0.5444614778090279,1.0435147126984152
0.43,-0.5181573144895957,1.0179953973271154
0.44,-0.4926178996489759,0.9925904489254124
0.45,-0.46781779518766614,0.9672825804155329
0.46,-0.44373376825810457,0.9420549540850626
0.47,-0.42034464065147037,0.9168910956612791
0.48,-0.39763116215149946,0.8917748170379105
0.49,-0.375575900884853,0.8666901417286954
0.5,-0.35416315040030616,0.8416212335728065
0.51,-0.33337901452113794,0.8165525268115187
0.52,-0.3132105206635047,0.791467650208781
0.53,-0.29364721552050893,0.7663513757024372
0.54,-0.274679502013896,0.7411875633250954
0.55,-0.2562995086018339,0.7159602064386456
0.56,-0.2385001050389474,0.6906520180799409
0.57,-0.22127683129627337,0.6652470688342391
0.58,-0.20462580011932854,0.6397277547821864
0.59,-0.1885448260434522,0.6140762591786987
0.6,-0.17303323311961785,0.5882741420793841
0.61,-0.15809191024443542,0.5623022501189827
0.62,-0.14372339312435534,0.536140640362872
0.63,-0.1299316493792623,0.5097678871393573
0.64,-0.1167229718743376,0.48316244033313993
0.65,-0.10410519510287243,0.45630076726403285
0.66,-0.09208833948863533,0.4291581048719347
0.67,-0.08068468788137857,0.4017080728125305
0.68,-0.06990900439188574,0.37392246359876696
0.69,-0.0597788069392017,0.34577104256777097
0.7,-0.05031473550832942,0.31722148574246833
0.71,-0.0415401440225846,0.2882365140733722
0.72,-0.03348347365176997,0.2587797273813004
0.73,-0.026176610009853333,0.2288082603834627
0.74,-0.019656702280392478,0.1982760816659057
0.75,-0.018222120855295475,0.1909037498599519
0.76,-0.01747072218851862,0.18692630734339416
0.77,-0.016772872118484782,0.18315497327937702
0.78,-0.0052492879361356855,0.10246255839218203
